Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-JERIQUARA;n/d;278;175;n/d;n/d;453
SP-JOANOPOLIS;n/d;946;711;n/d;n/d;1657
SP-JOAO RAMALHO;n/d;271;277;n/d;n/d;548
SP-JOSE BONIFACIO;n/d;3647;2226;n/d;n/d;5873
SP-JULIO MESQUITA;n/d;240;131;n/d;n/d;371
SP-JUMIRIM;n/d;617;207;n/d;n/d;824
SP-JUNDIAI;n/d;70281;41868;n/d;n/d;112149
SP-JUNQUEIROPOLIS;n/d;2401;879;n/d;n/d;3280
SP-JUQUIA;n/d;1218;590;n/d;n/d;1808
SP-JUQUITIBA;n/d;5085;1550;n/d;n/d;6635
SP-LAGOINHA;n/d;380;121;n/d;n/d;501
SP-LARANJAL PAULISTA;n/d;3407;2575;n/d;n/d;5982
SP-LAVINIA;n/d;396;168;n/d;n/d;564
SP-LAVRINHAS;n/d;527;261;n/d;n/d;788
SP-LEME;n/d;9067;5588;n/d;n/d;14655
SP-LENCOIS PAULISTA;n/d;11212;4553;n/d;n/d;15765
SP-LIMEIRA;n/d;37595;19538;n/d;n/d;57133
SP-LINDOIA;n/d;804;446;n/d;n/d;1250
SP-LINS;n/d;11649;6957;n/d;n/d;18606
SP-LORENA;n/d;8482;4706;n/d;n/d;13188
SP-LOURDES;n/d;86;90;n/d;n/d;176
SP-LOUVEIRA;n/d;4658;3041;n/d;n/d;7699
SP-LUCELIA;n/d;2017;1330;n/d;n/d;3347
SP-LUCIANOPOLIS;n/d;293;159;n/d;n/d;452
SP-LUIS ANTONIO;n/d;3621;732;n/d;n/d;4353
SP-LUIZIANIA;n/d;214;121;n/d;n/d;335
SP-LUPERCIO;n/d;501;185;n/d;n/d;686
SP-LUTECIA;n/d;262;138;n/d;n/d;400
SP-MACATUBA;n/d;1775;1035;n/d;n/d;2810
SP-MACAUBAL;n/d;613;305;n/d;n/d;918
SP-MACEDONIA;n/d;316;113;n/d;n/d;429
SP-MAGDA;n/d;300;94;n/d;n/d;394
SP-MAIRINQUE;n/d;4086;2456;n/d;n/d;6542
SP-MAIRIPORA;n/d;7196;3771;n/d;n/d;10967
SP-MANDURI;n/d;1008;534;n/d;n/d;1542
SP-MARABA PAULISTA;n/d;390;194;n/d;n/d;584
SP-MARACAI;n/d;2417;701;n/d;n/d;3118
SP-MARAPOAMA;n/d;599;169;n/d;n/d;768
SP-MARIAPOLIS;n/d;142;102;n/d;n/d;244
SP-MARILIA;n/d;25572;18733;n/d;n/d;44305
SP-MARINOPOLIS;n/d;179;99;n/d;n/d;278
SP-MARTINOPOLIS;n/d;1247;818;n/d;n/d;2065
SP-MATAO;n/d;14467;7033;n/d;n/d;21500
SP-MAUA;n/d;30428;15673;n/d;n/d;46101
SP-MENDONCA;n/d;362;142;n/d;n/d;504
SP-MERIDIANO;n/d;367;153;n/d;n/d;520
SP-MESOPOLIS;n/d;142;79;n/d;n/d;221
SP-MIGUELOPOLIS;n/d;1856;1241;n/d;n/d;3097
SP-MINEIROS DO TIETE;n/d;942;658;n/d;n/d;1600
SP-MIRACATU;n/d;1452;639;n/d;n/d;2091
SP-MIRA ESTRELA;n/d;227;100;n/d;n/d;327
SP-MIRANDOPOLIS;n/d;2110;1103;n/d;n/d;3213
SP-MIRANTE DO PARANAPANEMA;n/d;651;512;n/d;n/d;1163
SP-MIRASSOL;n/d;5601;3018;n/d;n/d;8619
SP-MIRASSOLANDIA;n/d;201;120;n/d;n/d;321
SP-MOCOCA;n/d;8493;4096;n/d;n/d;12589
SP-MOGI DAS CRUZES;n/d;37476;23260;n/d;n/d;60736
SP-MOGI GUACU;n/d;19539;10205;n/d;n/d;29744
SP-MOGI MIRIM;n/d;14001;7500;n/d;n/d;21501
SP-MOMBUCA;n/d;345;178;n/d;n/d;523
SP-MONCOES;n/d;224;108;n/d;n/d;332
SP-MONGAGUA;n/d;1875;1574;n/d;n/d;3449
SP-MONTE ALEGRE DO SUL;n/d;889;544;n/d;n/d;1433
SP-MONTE ALTO;n/d;6433;3549;n/d;n/d;9982
SP-MONTE APRAZIVEL;n/d;2811;900;n/d;n/d;3711
SP-MONTE AZUL PAULISTA;n/d;4474;2051;n/d;n/d;6525
SP-MONTE CASTELO;n/d;209;125;n/d;n/d;334
SP-MONTEIRO LOBATO;n/d;677;237;n/d;n/d;914
SP-MONTE MOR;n/d;6171;2184;n/d;n/d;8355
SP-MORRO AGUDO;n/d;2667;1447;n/d;n/d;4114
SP-MORUNGABA;n/d;14400;6808;n/d;n/d;21208
SP-MOTUCA;n/d;1289;318;n/d;n/d;1607
SP-MURUTINGA DO SUL;n/d;286;150;n/d;n/d;436
SP-NANTES;n/d;169;106;n/d;n/d;275
SP-NARANDIBA;n/d;511;218;n/d;n/d;729
SP-NATIVIDADE DA SERRA;n/d;407;142;n/d;n/d;549
SP-NAZARE PAULISTA;n/d;4645;613;n/d;n/d;5258
SP-NEVES PAULISTA;n/d;1141;352;n/d;n/d;1493
SP-NHANDEARA;n/d;707;547;n/d;n/d;1254
SP-NIPOA;n/d;302;159;n/d;n/d;461
SP-NOVA ALIANCA;n/d;494;201;n/d;n/d;695
SP-NOVA CAMPINA;n/d;1585;339;n/d;n/d;1924
SP-NOVA CANAA PAULISTA;n/d;81;56;n/d;n/d;137
SP-NOVA CASTILHO;n/d;121;78;n/d;n/d;199
SP-NOVA EUROPA;n/d;2176;447;n/d;n/d;2623
SP-NOVA GRANADA;n/d;1093;690;n/d;n/d;1783
SP-NOVA GUATAPORANGA;n/d;127;73;n/d;n/d;200
SP-NOVA INDEPENDENCIA;n/d;212;130;n/d;n/d;342
SP-NOVAIS;n/d;170;135;n/d;n/d;305
SP-NOVA LUZITANIA;n/d;112;100;n/d;n/d;212
SP-NOVA ODESSA;n/d;9541;4086;n/d;n/d;13627
SP-NOVO HORIZONTE;n/d;4157;1792;n/d;n/d;5949
SP-NUPORANGA;n/d;1320;996;n/d;n/d;2316
SP-OCAUCU;n/d;396;154;n/d;n/d;550
SP-OLEO;n/d;186;84;n/d;n/d;270
SP-OLIMPIA;n/d;6977;3302;n/d;n/d;10279
SP-ONDA VERDE;n/d;1184;295;n/d;n/d;1479
SP-ORIENTE;n/d;896;330;n/d;n/d;1226
SP-ORINDIUVA;n/d;1987;236;n/d;n/d;2223
SP-ORLANDIA;n/d;6208;2497;n/d;n/d;8705
SP-OSASCO;n/d;71976;46669;n/d;n/d;118645
SP-OSCAR BRESSANE;n/d;236;187;n/d;n/d;423
SP-OSVALDO CRUZ;n/d;3197;2386;n/d;n/d;5583
SP-OURINHOS;n/d;11299;6728;n/d;n/d;18027
SP-OUROESTE;n/d;732;304;n/d;n/d;1036
SP-OURO VERDE;n/d;466;302;n/d;n/d;768
SP-PACAEMBU;n/d;655;458;n/d;n/d;1113
SP-PALESTINA;n/d;705;252;n/d;n/d;957
SP-PALMARES PAULISTA;n/d;223;268;n/d;n/d;491
SP-PALMEIRA D OESTE;n/d;413;293;n/d;n/d;706
SP-PALMITAL;n/d;1840;1001;n/d;n/d;2841
SP-PANORAMA;n/d;1519;562;n/d;n/d;2081
SP-PARAGUACU PAULISTA;n/d;5470;2240;n/d;n/d;7710
SP-PARAIBUNA;n/d;1615;1086;n/d;n/d;2701
SP-PARAISO;n/d;1103;251;n/d;n/d;1354
SP-PARANAPANEMA;n/d;2386;1362;n/d;n/d;3748
SP-PARANAPUA;n/d;291;150;n/d;n/d;441
SP-PARAPUA;n/d;1435;397;n/d;n/d;1832
SP-PARDINHO;n/d;1088;811;n/d;n/d;1899
SP-PARIQUERA-ACU;n/d;1804;1025;n/d;n/d;2829
SP-PARISI;n/d;187;88;n/d;n/d;275
SP-PATROCINIO PAULISTA;n/d;1934;601;n/d;n/d;2535
SP-PAULICEIA;n/d;503;219;n/d;n/d;722
SP-PAULINIA;n/d;18132;8792;n/d;n/d;26924
SP-PAULISTANIA;n/d;128;86;n/d;n/d;214
SP-PAULO DE FARIA;n/d;605;524;n/d;n/d;1129
SP-PEDERNEIRAS;n/d;6395;3183;n/d;n/d;9578
SP-PEDRA BELA;n/d;305;189;n/d;n/d;494
SP-PEDRANOPOLIS;n/d;242;95;n/d;n/d;337
SP-PEDREGULHO;n/d;2453;1378;n/d;n/d;3831
SP-PEDREIRA;n/d;6262;4463;n/d;n/d;10725
SP-PEDRINHAS PAULISTA;n/d;278;169;n/d;n/d;447
SP-PEDRO DE TOLEDO;n/d;363;245;n/d;n/d;608
SP-PENAPOLIS;n/d;6642;4850;n/d;n/d;11492
SP-PEREIRA BARRETO;n/d;2262;1203;n/d;n/d;3465
SP-PEREIRAS;n/d;1262;551;n/d;n/d;1813
SP-PERUIBE;n/d;3178;2304;n/d;n/d;5482
SP-PIACATU;n/d;337;240;n/d;n/d;577
SP-PIEDADE;n/d;4074;2296;n/d;n/d;6370
SP-PILAR DO SUL;n/d;7040;1608;n/d;n/d;8648
SP-PINDAMONHANGABA;n/d;16377;6634;n/d;n/d;23011
SP-PINDORAMA;n/d;1064;575;n/d;n/d;1639
SP-PINHALZINHO;n/d;582;449;n/d;n/d;1031
SP-PIQUEROBI;n/d;354;196;n/d;n/d;550
SP-PIQUETE;n/d;956;312;n/d;n/d;1268
SP-PIRACAIA;n/d;1758;1299;n/d;n/d;3057
SP-PIRACICABA;n/d;58350;29588;n/d;n/d;87938
SP-PIRAJU;n/d;2671;1588;n/d;n/d;4259
