Coluna;Sexo Trabalhador
Município-São Paulo;Não Informado;Masculino;Feminino;Ignorado;{ñ class};Total
SP-HERCULANDIA;n/d;802;441;n/d;n/d;1243
SP-HOLAMBRA;n/d;4664;5627;n/d;n/d;10291
SP-HORTOLANDIA;n/d;27184;18881;n/d;n/d;46065
SP-IACANGA;n/d;2124;857;n/d;n/d;2981
SP-IACRI;n/d;586;347;n/d;n/d;933
SP-IARAS;n/d;1085;649;n/d;n/d;1734
SP-IBATE;n/d;4075;2124;n/d;n/d;6199
SP-IBIRA;n/d;1073;936;n/d;n/d;2009
SP-IBIRAREMA;n/d;466;255;n/d;n/d;721
SP-IBITINGA;n/d;8174;7142;n/d;n/d;15316
SP-IBIUNA;n/d;7721;6418;n/d;n/d;14139
SP-ICEM;n/d;522;443;n/d;n/d;965
SP-IEPE;n/d;593;469;n/d;n/d;1062
SP-IGARACU DO TIETE;n/d;1150;1168;n/d;n/d;2318
SP-IGARAPAVA;n/d;3390;2431;n/d;n/d;5821
SP-IGARATA;n/d;925;760;n/d;n/d;1685
SP-IGUAPE;n/d;1428;1363;n/d;n/d;2791
SP-ILHABELA;n/d;4533;4778;n/d;n/d;9311
SP-ILHA COMPRIDA;n/d;802;891;n/d;n/d;1693
SP-ILHA SOLTEIRA;n/d;2486;2529;n/d;n/d;5015
SP-INDAIATUBA;n/d;43838;32965;n/d;n/d;76803
SP-INDIANA;n/d;362;255;n/d;n/d;617
SP-INDIAPORA;n/d;159;116;n/d;n/d;275
SP-INUBIA PAULISTA;n/d;470;416;n/d;n/d;886
SP-IPAUSSU;n/d;2310;1190;n/d;n/d;3500
SP-IPERO;n/d;3447;2936;n/d;n/d;6383
SP-IPEUNA;n/d;1170;747;n/d;n/d;1917
SP-IPIGUA;n/d;744;440;n/d;n/d;1184
SP-IPORANGA;n/d;349;221;n/d;n/d;570
SP-IPUA;n/d;1463;1277;n/d;n/d;2740
SP-IRACEMAPOLIS;n/d;4665;2528;n/d;n/d;7193
SP-IRAPUA;n/d;564;474;n/d;n/d;1038
SP-IRAPURU;n/d;335;328;n/d;n/d;663
SP-ITABERA;n/d;1779;1038;n/d;n/d;2817
SP-ITAI;n/d;3306;1790;n/d;n/d;5096
SP-ITAJOBI;n/d;2158;1390;n/d;n/d;3548
SP-ITAJU;n/d;358;254;n/d;n/d;612
SP-ITANHAEM;n/d;7032;7875;n/d;n/d;14907
SP-ITAOCA;n/d;197;109;n/d;n/d;306
SP-ITAPECERICA DA SERRA;n/d;12320;10500;n/d;n/d;22820
SP-ITAPETININGA;n/d;21496;15015;n/d;n/d;36511
SP-ITAPEVA;n/d;12380;8030;n/d;n/d;20410
SP-ITAPEVI;n/d;18933;15298;n/d;n/d;34231
SP-ITAPIRA;n/d;14399;10037;n/d;n/d;24436
SP-ITAPIRAPUA PAULISTA;n/d;357;211;n/d;n/d;568
SP-ITAPOLIS;n/d;6035;3999;n/d;n/d;10034
SP-ITAPORANGA;n/d;1124;1061;n/d;n/d;2185
SP-ITAPUI;n/d;2537;1966;n/d;n/d;4503
SP-ITAPURA;n/d;359;296;n/d;n/d;655
SP-ITAQUAQUECETUBA;n/d;25520;18269;n/d;n/d;43789
SP-ITARARE;n/d;4827;3538;n/d;n/d;8365
SP-ITARIRI;n/d;985;615;n/d;n/d;1600
SP-ITATIBA;n/d;19959;14634;n/d;n/d;34593
SP-ITATINGA;n/d;1726;1323;n/d;n/d;3049
SP-ITIRAPINA;n/d;2537;1712;n/d;n/d;4249
SP-ITIRAPUA;n/d;494;241;n/d;n/d;735
SP-ITOBI;n/d;568;426;n/d;n/d;994
SP-ITU;n/d;30955;23673;n/d;n/d;54628
SP-ITUPEVA;n/d;17322;10936;n/d;n/d;28258
SP-ITUVERAVA;n/d;3673;3795;n/d;n/d;7468
SP-JABORANDI;n/d;484;414;n/d;n/d;898
SP-JABOTICABAL;n/d;13674;8410;n/d;n/d;22084
SP-JACAREI;n/d;28224;21104;n/d;n/d;49328
SP-JACI;n/d;1612;1195;n/d;n/d;2807
SP-JACUPIRANGA;n/d;2180;1066;n/d;n/d;3246
SP-JAGUARIUNA;n/d;18918;15078;n/d;n/d;33996
SP-JALES;n/d;6242;5255;n/d;n/d;11497
SP-JAMBEIRO;n/d;1865;793;n/d;n/d;2658
SP-JANDIRA;n/d;10789;8177;n/d;n/d;18966
SP-JARDINOPOLIS;n/d;5079;3974;n/d;n/d;9053
SP-JARINU;n/d;5236;3977;n/d;n/d;9213
SP-JAU;n/d;20255;17026;n/d;n/d;37281
SP-JERIQUARA;n/d;415;316;n/d;n/d;731
SP-JOANOPOLIS;n/d;1289;1103;n/d;n/d;2392
SP-JOAO RAMALHO;n/d;288;246;n/d;n/d;534
SP-JOSE BONIFACIO;n/d;6106;3697;n/d;n/d;9803
SP-JULIO MESQUITA;n/d;233;243;n/d;n/d;476
SP-JUMIRIM;n/d;872;439;n/d;n/d;1311
SP-JUNDIAI;n/d;92926;75244;n/d;n/d;168170
SP-JUNQUEIROPOLIS;n/d;3901;1718;n/d;n/d;5619
SP-JUQUIA;n/d;1301;1036;n/d;n/d;2337
SP-JUQUITIBA;n/d;2078;2470;n/d;n/d;4548
SP-LAGOINHA;n/d;444;266;n/d;n/d;710
SP-LARANJAL PAULISTA;n/d;5231;4040;n/d;n/d;9271
SP-LAVINIA;n/d;391;291;n/d;n/d;682
SP-LAVRINHAS;n/d;465;350;n/d;n/d;815
SP-LEME;n/d;13032;9579;n/d;n/d;22611
SP-LENCOIS PAULISTA;n/d;13172;7537;n/d;n/d;20709
SP-LIMEIRA;n/d;47136;35533;n/d;n/d;82669
SP-LINDOIA;n/d;1178;767;n/d;n/d;1945
SP-LINS;n/d;14683;9994;n/d;n/d;24677
SP-LORENA;n/d;9560;7157;n/d;n/d;16717
SP-LOURDES;n/d;101;149;n/d;n/d;250
SP-LOUVEIRA;n/d;9976;6742;n/d;n/d;16718
SP-LUCELIA;n/d;3092;5995;n/d;n/d;9087
SP-LUCIANOPOLIS;n/d;768;294;n/d;n/d;1062
SP-LUIS ANTONIO;n/d;5201;1807;n/d;n/d;7008
SP-LUIZIANIA;n/d;276;256;n/d;n/d;532
SP-LUPERCIO;n/d;370;196;n/d;n/d;566
SP-LUTECIA;n/d;282;183;n/d;n/d;465
SP-MACATUBA;n/d;2302;1586;n/d;n/d;3888
SP-MACAUBAL;n/d;1094;651;n/d;n/d;1745
SP-MACEDONIA;n/d;340;175;n/d;n/d;515
SP-MAGDA;n/d;347;235;n/d;n/d;582
SP-MAIRINQUE;n/d;4799;4441;n/d;n/d;9240
SP-MAIRIPORA;n/d;8728;6253;n/d;n/d;14981
SP-MANDURI;n/d;926;641;n/d;n/d;1567
SP-MARABA PAULISTA;n/d;378;244;n/d;n/d;622
